Index,MaxTheoreticalCapacity/mAhg,V_AI/Volt,V_DFT/Volt,SMILES
115,551.9044771191493,3.0670404,3.020126737514374,CC1CCC2=C(NS(=O)(=O)O1)S(=O)(=O)N=NO2
116,521.511807006127,3.1559725,3.4595140811159086,CC(=O)C1=NC(=N)OC2=NC(=O)C(Br)=NC2=N1
117,496.34104168457367,3.0385427,3.150195105993199,CC1=NC2=CC(=N)C=C2C2=NC(=O)C(=N)N=C12
118,545.9708234332078,3.1914442,3.007286927269472,BrC1=NSC(=O)C(OC(=O)C(=O)C(=O)C=O)=N1
119,316.4126838322342,2.979202,3.504678691948833,CCCN1N=C(C=C2C(=O)N=CC2=C1C)C#N
120,517.162367488219,3.4025664,3.0573033396059834,CC1=CC(=N)OC2=C(ON=NS2(=O)=O)OC=N1
121,647.2582091545237,3.056465,2.8384913994994916,CC1=NC(=O)C(=O)N=CC=C(C(=O)C#N)C1=N
122,527.7060520058741,2.9671292,3.4205087439044504,CC1=NC=NC(=O)OC2=C1N=C(C2=O)[N+]([O-])=O
123,560.5081731959124,3.1349647,4.566922270337908,CC1=NOC2=C(O1)C=C(C#N)C(=O)C(=O)C2=O
124,325.9064946224077,2.924229,2.8018353412799892,BrC1=NC2=NC(=N1)N=CC=CC1=CC=C2C1=O
125,245.145005115239,3.0350683,3.1831835784323808,CC1=C2OC(=N)C=C(C=O)N=C2C(=O)N=C1Br
126,597.6813412193744,3.2116656,3.1205946271709033,CCCCC1=C(C#N)C(=NO)S(=O)(=O)N=NO1
127,471.9356961949513,2.9762201,3.9009583112480386,CC(=O)C(=O)N1C(=N)N=C2N=NOC(=O)N=C12
128,383.0424850166413,3.2310076,3.0739614143375724,BrC1=NON=C(C1=N)C1=C(C=O)N=NOC1=O
129,501.8614249513541,2.9115133,4.372041660689929,CC1=NC2=NC(Cl)=NC(=O)C2=C(C#C)C(=O)S1
130,701.0970750484759,2.93595,4.367228140114325,CC(=O)C(=O)C1=C(C#N)S(=O)(=O)N=NC=C1
131,518.1633839543679,3.010036,2.854384958401888,ClC1=NC(=O)C(=N)N2C1=COC(=O)C=NC2=O
132,572.4427439974139,3.0924819,3.738549872956481,CC1=NC2=C(C=O)C3=C(C=NC(=O)C3=O)C2=N1
133,609.2915727457219,3.0309892,3.0878693510623654,CC1=NC(=N)C2=C(C=NC(=N)SC2=O)N1C=O
134,395.5544373396988,2.9631934,2.8264579096794256,CC1=NC2=C(ON=N2)C2=C(NC1=O)N=CC2=O
135,401.46771998851153,2.9273403,3.1359202524893255,CC1=CC=C2C(=O)N=CN=C2C(=O)C(=O)C=N1
136,432.143695840222,2.9669602,5.4674532986711695,CC1=C2SN=NSN=C2C2=CC(=N)N=C2C1=O
137,690.2160367583415,3.0920591,2.816711135771289,CC(=O)C(=O)C1=NC(=O)C(=NC(=N)O1)[N+]([O-])=O
138,534.293915674429,3.0494514,4.932255537898537,CC1=C(O)C2=C(SN=NC2=N)C(=O)N=C1C#N
139,510.04654056429655,2.9459474,3.058496352499639,BrC1=NC(=O)SC(=N1)C1=CC(=O)N=NS1
140,461.0210652812947,3.2085521,3.2971526250361998,BrC1=CC(=O)C2=NC=NC(=O)C(C=O)=CC2=N1
141,289.06627489565545,3.0600395,3.7334499286118166,CC1=CSC(=O)C=NC2=COC(C(N)=C2)=C1O
142,325.9064946224077,3.1556356,3.3018426974305153,BrC1=NC2=CC(=N)C(=N)C(=O)C3=C2C(=C1)N=C3
143,321.9988142501645,2.9793222,3.232727771487285,CC1=NC2=C3N(N=N2)N=C(Br)C2=NC(=O)C1=C32
144,489.665513194589,3.1206048,2.960683198182834,ClC1=NSN=C2N1C(=O)N=CC(=O)C(=O)C2=N
145,394.28255316156896,3.03464,5.766204869046947,CC1=NC(=O)C2=C1C(Br)=CC1=NC(=O)C(=N)N21
146,605.3738480659862,3.0063858,2.9876078476108847,CC1=NC=CSC(=N)OC(=O)N=C1C(=O)C#N
147,374.3904637687789,3.010721,2.8752767067925262,CC1=C(SN=C2C=C(Br)C(=O)N=C12)C(=O)C#N
