index,45M_index,dielectric,homo,lumo,oxidation,reduction,ip,ea,deo,der,oxidation_solv,reduction_solv,ip_solv,ea_solv,deo_solv,der_solv,redox_stable
726,41262894,2.4631533573582454,-0.24027,-0.06777,7.523605045807163,1.2264928470397467,7.557728141407631,1.2391733594386671,7.592449887806588,1.1066538414391405,5.347700248565266,2.484628416147657,5.381823344165734,2.4973089285465773,5.41654509056469,2.3647894105470506,yes
727,41286628,2.5229993581254457,-0.23693,-0.12669,7.656482638619045,2.4457391622033566,7.701109334617742,2.4212489022064108,7.731722159617792,2.3666900452049475,5.613634376356314,3.841170503085538,5.658261072355011,3.816680243088592,5.6888738973550605,3.762121386087129,yes
728,41321241,2.784776527632569,-0.25416,-0.14393,8.201308364229943,2.666076398738913,8.272194061230401,2.642946708738532,8.316358163430266,2.587326607139748,5.855134081940489,4.106576593659884,5.9260197789409474,4.083446903659502,5.970183881140812,4.027826802060718,yes
729,41322649,3.061906422284636,-0.27291,-0.1542,8.717156806037481,3.136490020395422,8.751824129639669,3.1504494685942075,8.837757730839257,3.112489565594146,6.746291023465609,4.413604506968724,6.780958347067797,4.42756395516751,6.866891948267386,4.389604052167448,yes
730,41337378,2.58530337823425,-0.28349,-0.16181,8.807711991413404,2.9547647808458644,8.860556530216103,2.934519499247481,8.916584802813857,2.8685046428471,6.633073558307593,4.2968703765308565,6.68591809711029,4.276625094932474,6.741946369708043,4.210610238532092,yes
731,41345306,2.5373046621117066,-0.30595,-0.19106,4.469204689822993,4.7918472663687215,5.085896648022065,4.794541194965014,5.1496801696218935,4.766703932770331,2.566174070255368,6.0116891574411095,3.18286602845444,6.014383086037401,3.246649550054268,5.986545823842718,no
732,41349367,2.823470724883317,-0.26709,-0.15286,8.465368959924763,3.012904358759764,8.510975266320987,3.046864185960644,8.551030447121946,3.005285166760439,6.226246093975033,4.320533029011845,6.271852400371257,4.354492856212724,6.311907581172215,4.31291383701252,yes
733,41349498,3.214051476986063,-0.24986,-0.17828,8.270057667005826,3.379798195619712,8.298411945808484,3.3830363522208167,8.323609702206737,3.360995118220781,6.252888013791381,4.764548517777225,6.281242292594039,4.76778667437833,6.306440048992292,4.745745440378295,yes
734,41349966,2.4908381992208333,-0.27559,-0.19195,8.887892612849555,3.651676463263898,8.92566203605319,3.6547241400623904,8.973173140450793,3.619186051662402,6.64676647084385,4.873921583554904,6.684535894047485,4.8769692603533965,6.732046998445087,4.841431171953408,yes
735,41357043,2.5112791874697984,-0.23744,-0.08198,6.353557050684438,1.6632806070055297,6.422701218089294,1.658953994404079,6.433667412286355,1.6046128286051595,4.426435090235497,3.207444507814585,4.495579257640352,3.2031178952131345,4.506545451837414,3.1487767294142155,yes
736,41360603,2.8151343630010714,-0.2753,-0.1998,8.881288052320423,3.946380741681768,8.927901180523387,3.941047307282859,8.993970459720538,3.919958472283512,6.720144296700838,5.152395132636864,6.7667574249038,5.1470616982379545,6.832826704100951,5.125972863238608,yes
737,41361390,2.564874376640661,-0.28454,-0.17444,8.948336506537306,3.1605623405020205,9.02012017973859,3.1634467489009253,9.081862846337383,3.123745316302168,6.815248983255782,4.727592715435557,6.887032656457067,4.730477123834461,6.948775323055861,4.690775691235704,yes
738,41361586,2.544773872698137,-0.26777,-0.175,8.689946222377678,3.317035917864595,8.731470818778021,3.3183692764643222,8.777920678578303,3.289062598664069,6.670507791482463,4.603139363894901,6.712032387882805,4.604472722494629,6.758482247683086,4.575166044694376,yes
739,41363154,2.3913444900247423,-0.26879,-0.14747,8.78010787648769,2.8290785351960204,8.836299417491219,2.809214213193582,8.910831442088659,2.761267726393986,6.9990090640825136,4.470581423396556,7.055200605086042,4.450717101394118,7.129732629683481,4.402770614594521,yes
740,41365891,2.572579927467407,-0.22815,-0.09018,5.37738271579755,2.488819135019218,5.640680222194813,2.438341988019824,5.619400907399042,2.368980129418612,3.600357205067956,3.998729652045813,3.86365471146522,3.948252505046419,3.842375396669447,3.8788906464452073,no
741,41366036,3.1972861039441454,-0.26731,-0.15252,7.8184597216386065,4.827495016711083,7.86714091623016,4.6813425873119465,7.882869105433761,4.679573846313319,6.001463385443819,6.142203739488253,6.050144580035373,5.996051310089117,6.065872769238974,5.994282569090489,no
742,41370800,2.4593679732684723,-0.28317,-0.15534,8.888006791886054,2.8589662852275546,8.958729220490019,2.8388026378258724,9.008852619287213,2.7915364360245585,6.928733473879442,4.4937646110127965,6.9994559024834055,4.473600963611114,7.049579301280599,4.4263347618098,yes
743,41627624,2.802443412668891,-0.21561,-0.11566,6.845350315568604,1.8707908249671377,6.846874153970944,1.8767229101645349,6.861786001170418,1.7955785153652286,5.03210137011818,3.4243233930994186,5.03362520852052,3.430255478296816,5.048537055719994,3.349111083497509,yes
744,41745552,2.4878842840980706,-0.28281,-0.18064,9.025834002300089,3.469813343554696,9.058732584900552,3.486956525554724,9.15171393870091,3.4646159661523503,6.80889226415709,5.016725867877216,6.841790846757555,5.033869049877244,6.934772200557912,5.01152849047487,yes
745,42060800,3.175794882042746,-0.27154,-0.13849,8.623002858593006,2.571610635858562,8.675194323791164,2.561542417859233,8.71881419798931,2.5156367860606714,6.588247838133516,4.071148711427606,6.640439303331675,4.0610804934282765,6.6840591775298215,4.015174861629715,yes
746,42445126,2.3627667112022706,-0.26521,-0.12354,8.5148829866246,2.0991246756162507,8.513331936825423,2.0816005340171846,8.559373625626735,2.0201571928176354,6.367154941008287,3.5857346150541134,6.365603891209109,3.568210473455048,6.411645580010421,3.5067671322554985,yes
747,42631434,2.349049586844528,-0.25266,-0.11599,8.07671930943409,1.91690726347951,8.141319173031857,1.932744298282836,8.212939577833554,1.862375617881072,6.154937912775894,3.368223010287052,6.219537776373661,3.384060045090377,6.291158181175358,3.313691364688614,yes
748,42640910,2.1867187679710973,-0.30198,-0.13965,6.919793984756564,3.4217230717191374,7.234493825750886,3.3287417179218743,7.306495190154714,3.262264267719567,5.266846471516484,4.493255213596679,5.581546312510805,4.400273859799415,5.653547676914634,4.333796409597108,no
749,42641989,2.7169331164717367,-0.27135,-0.12629,8.429694460771378,2.1713749699042872,8.506240128973014,2.0935231545059487,8.553152582572128,2.0639715741063136,6.551771854404148,3.6455558302714177,6.628317522605784,3.567704014873079,6.675229976204897,3.538152434473444,yes
750,42774705,2.4728131980465897,-0.26947,-0.13219,8.328795188223108,2.2690700184703494,8.289692406422839,2.3068938644676606,8.366156440421587,2.2361170130700208,6.338570861943681,3.675707530888164,6.299468080143411,3.713531376885475,6.37593211414216,3.642754525487835,yes
751,42819367,2.033735519183874,-0.30004,-0.105,7.548391202569184,2.2559875120568065,7.716176694972479,2.444099920255186,7.884043821572476,2.3488328088575066,5.792268128746468,3.8336916946991177,5.960053621149764,4.021804102897497,6.12792074774976,3.926536991499818,no
752,42835219,2.519029181450899,-0.22374,-0.09337,7.312230809042937,1.235120820067546,7.278815209840683,1.2824414446687222,7.257481472245049,1.208889030465716,5.521514426632158,2.9153469454595227,5.488098827429904,2.9626675700606997,5.4667650898342695,2.889115155857693,yes
753,42887106,2.631555545673515,-0.26342,-0.08634,7.454531736887198,3.233174192664994,7.515185947491832,3.1432405156600365,7.578833412088911,3.066232253662662,5.362458623461456,4.43721224684983,5.423112834066092,4.347278569844872,5.486760298663169,4.270270307847498,no
754,43061234,2.3651263791495087,-0.26018,-0.10344,8.521647468549393,3.522495321452912,8.577131513148519,3.4243438016563275,8.6269011637497,3.3473355396527658,6.487254359712392,4.797292267509514,6.542738404311519,4.6991407477129306,6.5925080549127,4.622132485709368,yes
755,43294640,2.5449607871361617,-0.28304,-0.11237,8.937302692005552,2.3755897784814137,8.992868370807567,2.3788279350825188,9.077087653808393,2.332214806879556,6.946458979843568,3.6585109601198185,7.002024658645582,3.661749116720924,7.086243941646406,3.615135988517961,yes
756,43314769,2.2857413597491343,-0.26881,-0.14716,8.671204588325999,2.870542559017077,8.715178210720158,2.923713634618951,8.772811955923139,2.87671954681695,6.744394198409829,4.175136532304223,6.788367820803988,4.228307607906096,6.846001566006968,4.181313520104095,yes
757,43349077,2.815727346151991,-0.28725,-0.11049,5.486942615045493,3.5605744103805264,5.78482581084515,3.4913758201789022,5.908474412448512,3.413741695980014,4.041593321435135,4.687816179371999,4.339476517234792,4.618617589170374,4.463125118838154,4.540983464971486,no
758,43349413,2.280173487156699,-0.27959,-0.15027,8.828848391947368,2.9808254651580706,8.921149460743255,2.9971250937633216,8.987545276742674,2.9614237369606515,6.93315505427417,4.417114995261134,7.0254561230700565,4.433414623866385,7.0918519390694765,4.397713267063715,yes
759,43349816,2.659113466647209,-0.30358,-0.14817,3.51759264350814,2.6352083036005407,4.05237828770983,2.611643231198165,4.110529049508411,2.573193522999341,2.0904494091835195,4.106464754809971,2.625235053385209,4.082899682407595,2.6833858151837906,4.044449974208771,no
760,43378176,2.282196065438732,-0.22848,-0.13015,3.920123210095535,4.277119580495131,3.9646682718944377,4.266207809094838,3.900558213495434,4.255214403494752,1.716642271251371,5.728335679157875,1.7611873330502743,5.717423907757583,1.6970772746512706,5.706430502157496,no
761,43407384,2.517568643210818,-0.28688,-0.12471,8.810795804955633,4.7321468153389485,8.948349431957919,4.433773814340528,9.004649818554984,4.340982940339691,6.513462203281788,6.035585936809668,6.651015830284072,5.737212935811248,6.707316216881138,5.644422061810411,no
762,43411602,2.6562663308868126,-0.31256,-0.16942,9.646119661254431,3.3388055820875624,9.687344932258624,3.3859085154892883,9.737359485456093,3.3501799472897806,7.515122817037063,4.654121119095884,7.556348088041254,4.7012240524976106,7.606362641238722,4.665495484298102,yes
763,43413791,2.8400935505136955,-0.25608,-0.1217,7.944331902779636,1.991271176052981,7.994482512979855,1.9714068540505432,8.01510875418037,1.902888548850295,6.043285892247008,3.411179198447896,6.093436502447227,3.391314876445458,6.114062743647741,3.322796571245209,yes
764,43413903,2.7230993000326924,-0.30625,-0.16529,7.317947107837301,3.3218779143856323,7.617816735841224,3.296271986985316,7.66973608704007,3.2629108105829245,5.4997330615010025,4.669130383110391,5.799602689504924,4.643524455710075,5.851522040703771,4.610163279307684,no
765,43416352,2.470204746753959,-0.28843,-0.14859,9.04817962302502,2.88371777466446,9.121215020626238,2.840125111869339,9.173896291029347,2.800668581863776,7.115683955304157,4.197548385569281,7.188719352905375,4.15395572277416,7.241400623308485,4.114499192768597,yes
766,43430645,2.793417761069007,-0.23151,-0.08479,7.461657259672699,1.3741623119920134,7.527998652872257,1.2745141651899274,7.547699706472014,1.2124449617919582,5.788832934399738,3.1537523066927604,5.855174327599295,3.054104159890674,5.874875381199052,2.9920349564927053,yes
767,43467217,2.227024523800936,-0.25218,-0.09534,8.24758469693305,2.204174557432836,8.09960910373233,2.3510344832301864,8.155882278932559,2.301428101031687,6.546386990458657,3.073804669265093,6.398411397257937,3.2206645950624435,6.454684572458166,3.171058212863944,yes
